0 - Channel Setup;.chn
1 - PID Setup;.pid
2 - Filter Setup;.fil
3 - ~Reserved Old CAN MSG;.cnm
4 - ~Reserved Old CAN 1;.can
5 - ~Reserved Old CAN 2;.can
6 - Digital Inputs Setup;.dis
7 - Digital Outputs Setup;.dos
8 - Logging 1 Setup;.lgg
9 - Logging 2 Setup;.lgg
10 - Logging 3 Setup;.lgg
11 - Setpoint Setup;.spt
12 - Test Series Setup;.tss
13 - Graph Setup;.grp
14 - System Configure;.cfs
15 - Header;.hdr
16 - Profile Manager;.pmgr
17 - Post-Mortem Logging;.lgg
18 - High-Speed Data;.hsd
19 - Statistic Channel Setup;.mth
20 - Ramp Channel Setup;.rsf
21 - ETAS INCA Channel Setup;.inc
22 - ETC ECCS Transducer Setup;.ecx
23 - ETC ECCS Test Setup;.ect
24 - AVL AK Smoke Meter Setup;.avl
25 - Triggers Setup;.trg
26 - Alarm Limits Setup;.lts
27 - YKWT1 Measurement;.msr
28 - YKWT1 Instrument;.wt3
29 - Auto File Settings;.afn
30 - Playback File Setting;.pla
31 - UUT Constants;.uut
32 - UPS Setup;.ups
33 - Differential Channel Setup;.dff
34 - Integral Channel Setup;.int
35 - Signal Channel Setup;.sig
36 - Calibration Setup;.cal
37 - BNC Setup;.bnc
38 - ASAP3 Setup;.as3
39 - Chassis Force Calculations;.cls
40 - Chassis Teststand Losses;.tls
41 - Chassis Vehicle Losses;.vls
42 - Formula Channels;.frm
43 - ASAP3 Map Coords Setup;.am3
44 - Digital Controls Setup;.dcs
45 - Push Buttons Setup;.pbs
46 - Sliders Setup;.scs
47 - ~Reserved~;.afi
48 - Email Setup;.eml
49 - Timer Setup;.tmr
50 - Unit Conversion Setup;.ucv
51 - Visible Channels;.vchn
52 - Main Display Setup;.mds
53 - Message Display Setup;.mdp
54 - Input Display Setup;.inp
55 - Unico Parameter Downloads;.uni
56 - Flow Meter Setup;.fms
57 - Channel Zero Offset;.chzo
58 - YKWT2 Measurement;.msr
59 - YKWT2 Instrument;.wt3
60 - ~Reserved Old CAN 3;.can
61 - CAS Setup;.cas
62 - Accumulation Channel Setup;.cml
63 - Valvetrain Dynamics Setup;.vtd
64 - CCP Setup;.ccp
65 - System Log Setup;.syl
66 - Throttle Controller;.tcrl
67 - RE Shifter;.csv
68 - Main Display;.mdsp
69 - ~Reserved~;.exa
70 - FlexRay;.flex
71 - YKWT3 Measurement;.msr
72 - YKWT3 Instrument;.wt3
73 - CAN XNET API;.cxt
